theta,phi,z_true,z_qc,z_qc_std,z_M,z_M_std
0.0,0.7853981633974483,1.0,0.9459716796875,0.027051479382052653,0.9813073008455276,0.029254301115855853
0.0,1.5707963267948966,1.0,0.95794677734375,0.005759951671870252,0.9942575394546644,0.006228988745564281
0.0,2.356194490192345,1.0,0.9584716796875,0.006452016066970558,0.9948251849798353,0.006977408450079931
0.0,3.141592653589793,1.0,0.958935546875,0.0059209433205313225,0.9953268252113819,0.006403090061819599
0.0,3.9269908169872414,1.0,0.9572021484375,0.007001929468964664,0.9934522748724447,0.007572101702244664
0.0,4.71238898038469,1.0,0.95841064453125,0.005146968464098295,0.994759179686211,0.005566089867249259
0.0,5.497787143782138,1.0,0.95784912109375,0.00655111209153783,0.9941519309848648,0.007084573936341592
0.0,6.283185307179586,1.0,0.95723876953125,0.007869821370641768,0.9934918780486196,0.00851066667568264
0.5235987755982988,0.7853981633974483,0.8660254037844388,0.8215087890625,0.0063830911725054305,0.8467093060863483,0.00690287095109197
0.5235987755982988,1.5707963267948966,0.8660254037844387,0.81834716796875,0.006958954553838744,0.8432902318765967,0.007525627308376325
0.5235987755982988,2.356194490192345,0.8660254037844388,0.8187255859375,0.010086879033258592,0.8436994646970689,0.01090826096386927
0.5235987755982988,3.141592653589793,0.8660254037844387,0.81773681640625,0.007436213287984585,0.8426301789403512,0.0080417495699979
0.5235987755982988,3.9269908169872414,0.8660254037844387,0.81993408203125,0.007168136719442889,0.845006369510835,0.00775184333058436
0.5235987755982988,4.71238898038469,0.8660254037844387,0.82166748046875,0.0070302661408184934,0.8468809198497722,0.007602745849994379
0.5235987755982988,5.497787143782138,0.8660254037844388,0.819921875,0.009317294089742979,0.84499316845211,0.010076008156033139
0.5235987755982988,6.283185307179586,0.8660254037844387,0.81292724609375,0.006647893748099981,0.8374289618027367,0.007189236593920239
0.7853981633974483,0.7853981633974483,0.7071067811865475,0.66629638671875,0.011275707063864653,0.6788578443991204,0.012193896129737272
0.7853981633974483,1.5707963267948966,0.7071067811865475,0.66148681640625,0.012079794071735216,0.6736566272615061,0.013063460530240958
0.7853981633974483,2.356194490192345,0.7071067811865475,0.6640625,0.010955302729048601,0.676442050652462,0.011847401035803402
0.7853981633974483,3.141592653589793,0.7071067811865475,0.66480712890625,0.009941201198539161,0.6772473152346816,0.010750720476615362
0.7853981633974483,3.9269908169872414,0.7071067811865475,0.6651611328125,0.008533533294169051,0.677630145937704,0.009228425146146645
0.7853981633974483,4.71238898038469,0.7071067811865475,0.66395263671875,0.00890306741731409,0.6763232411239379,0.009628050702974488
0.7853981633974483,5.497787143782138,0.7071067811865475,0.666162109375,0.010982301208261094,0.6787126327531465,0.011876598020907176
0.7853981633974483,6.283185307179586,0.7071067811865475,0.6615966796875,0.011917806173783633,0.6737754367900303,0.012888281839387406
1.0471975511965976,0.7853981633974483,0.5000000000000001,0.46925048828125,0.009524111571906054,0.4657663544616278,0.01029966693689953
1.0471975511965976,1.5707963267948966,0.5000000000000002,0.4678466796875,0.012759422867233262,0.4642482327082632,0.0137984319951915
1.0471975511965976,2.356194490192345,0.5000000000000002,0.4694580078125,0.01209314161700582,0.46599077245995124,0.013077894975876603
1.0471975511965976,3.141592653589793,0.5000000000000002,0.46700439453125,0.011201457036313459,0.46333735965624445,0.012113599868184758
1.0471975511965976,3.9269908169872414,0.5000000000000002,0.46663818359375,0.014020845838963656,0.46294132789449716,0.01516257356128792
1.0471975511965976,4.71238898038469,0.5000000000000002,0.465576171875,0.014495371126430442,0.4617928357854299,0.01567573978966994
1.0471975511965976,5.497787143782138,0.5000000000000002,0.47171630859375,0.01309963207954309,0.46843296832405956,0.014166344692265765
1.0471975511965976,6.283185307179586,0.5000000000000002,0.4679931640625,0.015139599252396599,0.46440664541296217,0.016372427882699738
1.5707963267948966,0.7853981633974483,-1.1102230246251565e-16,0.0064208984375,0.009986107110035876,-0.03475178709332492,0.010799283109299966
1.5707963267948966,1.5707963267948966,0.0,0.00252685546875,0.013605464173538447,-0.03896292482657111,0.014713367063309248
1.5707963267948966,2.356194490192345,0.0,0.005126953125,0.01622812814643385,-0.03615109931816533,0.017549596480015053
1.5707963267948966,3.141592653589793,-7.498798913309291e-33,0.00318603515625,0.01686840259312319,-0.038250067655425976,0.018242008942775403
1.5707963267948966,3.9269908169872414,0.0,0.0031005859375,0.013621093978468427,-0.03834247506650036,0.01473026961467603
1.5707963267948966,4.71238898038469,0.0,9.765625e-05,0.015864573450825085,-0.041589935512828115,0.017156437259877245
1.5707963267948966,5.497787143782138,1.1102230246251565e-16,0.0085693359375,0.01839113297426394,-0.0324284007577408,0.01988873637157947
1.5707963267948966,6.283185307179586,-2.9995195653237163e-32,0.0016357421875,0.015296309749080847,-0.03992660211348951,0.016541899429644322
2.0943951023931953,0.7853981633974483,-0.5,-0.4508544921875,0.012281357806233113,-0.5292634469284435,0.013281437746930637
2.0943951023931953,1.5707963267948966,-0.4999999999999998,-0.45076904296875,0.012739781632133006,-0.5291710395173691,0.013777191359964318
2.0943951023931953,2.356194490192345,-0.4999999999999999,-0.4502685546875,0.014460290296619842,-0.5286297961096478,0.015637802302252715
2.0943951023931953,3.141592653589793,-0.4999999999999998,-0.45103759765625,0.011677310690348603,-0.529461462809317,0.012628202632995484
2.0943951023931953,3.9269908169872414,-0.4999999999999999,-0.45223388671875,0.010986549419829005,-0.5307551665643582,0.01188119216744739
2.0943951023931953,4.71238898038469,-0.4999999999999998,-0.451806640625,0.017070999655434353,-0.5302931295089864,0.01846110363191729
