theta,phi,z_true,z_qc,z_qc_std,z_M,z_M_std
0.0,0.7853981633974483,1.0,0.97535400390625,0.003986124258996943,0.9842221965880981,0.004185325736622569
0.0,1.5707963267948966,1.0,0.984716796875,0.0032441174478421257,0.9940528831981134,0.0034062380811221153
0.0,2.356194490192345,1.0,0.98548583984375,0.0033600919184982843,0.9948603581087145,0.0035280082280844554
0.0,3.141592653589793,1.0,0.98634033203125,0.003546325308439578,0.9957575524538267,0.0037235483942447637
0.0,3.9269908169872414,1.0,0.98648681640625,0.002942802120917951,0.9959113571987028,0.0030898649049050575
0.0,4.71238898038469,1.0,0.98583984375,0.003506761945603554,0.9952320529088322,0.0036820079027933806
0.0,5.497787143782138,1.0,0.9865234375,0.0031926511982841507,0.9959498083849223,0.0033521998713607376
0.0,6.283185307179586,1.0,0.9862060546875,0.0032140980174141134,0.9956165647710234,0.003374718467932562
0.5235987755982988,0.7853981633974483,0.8660254037844388,0.8395263671875,0.005083694184084636,0.8416067469014752,0.005337745319339851
0.5235987755982988,1.5707963267948966,0.8660254037844387,0.8369140625,0.007147768311313059,0.8388638956178467,0.007504968919428943
0.5235987755982988,2.356194490192345,0.8660254037844388,0.83828125,0.00608854042824817,0.8402994065700261,0.006392807473399359
0.5235987755982988,3.141592653589793,0.8660254037844387,0.83890380859375,0.0075802772351074655,0.8409530767357507,0.007959091925250947
0.5235987755982988,3.9269908169872414,0.8660254037844387,0.83690185546875,0.006270823172805452,0.8388510785557735,0.006584199565709514
0.5235987755982988,4.71238898038469,0.8660254037844387,0.83729248046875,0.0066126917972062224,0.8392612245421104,0.006943152638740011
0.5235987755982988,5.497787143782138,0.8660254037844388,0.83720703125,0.006563228098315499,0.8391715051075994,0.006891217054562313
0.5235987755982988,6.283185307179586,0.8660254037844387,0.838525390625,0.005606232504875283,0.8405557478114869,0.005886396826487533
0.7853981633974483,0.7853981633974483,0.7071067811865475,0.67733154296875,0.007018118302044169,0.6713064431371042,0.007368839816247654
0.7853981633974483,1.5707963267948966,0.7071067811865475,0.67510986328125,0.009314760115103567,0.6689737378398124,0.009780253375748638
0.7853981633974483,2.356194490192345,0.7071067811865475,0.6759521484375,0.009951806385851547,0.6698581151228515,0.010449135221657753
0.7853981633974483,3.141592653589793,0.7071067811865475,0.67156982421875,0.009047907315179222,0.6652567898386333,0.00950006494737934
0.7853981633974483,3.9269908169872414,0.7071067811865475,0.67860107421875,0.008567278305081171,0.6726394175926994,0.008995417115292656
0.7853981633974483,4.71238898038469,0.7071067811865475,0.67537841796875,0.00835550416566409,0.6692557132054191,0.008773059833265437
0.7853981633974483,5.497787143782138,0.7071067811865475,0.67275390625,0.007384959211273208,0.6665000448597175,0.007754013132201613
0.7853981633974483,6.283185307179586,0.7071067811865475,0.67593994140625,0.007432753180665806,0.6698452980607785,0.007804195544278368
1.0471975511965976,0.7853981633974483,0.5000000000000001,0.467529296875,0.010289334160545192,0.4510195972879097,0.010803530516551476
1.0471975511965976,1.5707963267948966,0.5000000000000002,0.47066650390625,0.010587840988005347,0.4543135822406789,0.011116954842124539
1.0471975511965976,2.356194490192345,0.5000000000000002,0.46531982421875,0.010647877195392797,0.448699709052691,0.011179991282431374
1.0471975511965976,3.141592653589793,0.5000000000000002,0.46746826171875,0.010651235343465867,0.45095551197754463,0.011183517249672802
1.0471975511965976,3.9269908169872414,0.5000000000000002,0.46546630859375,0.007999187324680994,0.44885351379756744,0.008398936512450085
1.0471975511965976,4.71238898038469,0.5000000000000002,0.46658935546875,0.010952804011964395,0.45003268350828635,0.01150015642788637
1.0471975511965976,5.497787143782138,0.5000000000000002,0.46690673828125,0.010484882818489763,0.4503659271221851,0.011008851469356701
1.0471975511965976,6.283185307179586,0.5000000000000002,0.47255859375,0.011538107090498212,0.45630022686199867,0.012114709281521823
1.5707963267948966,0.7853981633974483,-1.1102230246251565e-16,-0.00780029296875,0.012541540038400118,-0.048063982773868565,0.013168287511640947
1.5707963267948966,1.5707963267948966,0.0,-0.0099853515625,0.009889765294107615,-0.05035823688494123,0.010383993705454895
1.5707963267948966,2.356194490192345,0.0,-0.0067626953125,0.010400957676968034,-0.04697453249766086,0.010920732275890094
1.5707963267948966,3.141592653589793,-7.498798913309291e-33,-0.00682373046875,0.010958015590221923,-0.04703861780802603,0.011505628448122704
1.5707963267948966,3.9269908169872414,0.0,-0.010107421875,0.011750402702103252,-0.050486407505671516,0.012337614095644742
1.5707963267948966,4.71238898038469,0.0,-0.011767578125,0.011925621448711283,-0.05222952794760383,0.012521589175714594
1.5707963267948966,5.497787143782138,1.1102230246251565e-16,-0.0079833984375,0.013524945291808766,-0.048256238704964045,0.014200837188769369
1.5707963267948966,6.283185307179586,-2.9995195653237163e-32,-0.0108642578125,0.013044730225673738,-0.0512810653541995,0.013696623986967514
2.0943951023931953,0.7853981633974483,-0.5,-0.491650390625,0.011878441393841683,-0.556093872162623,0.012472051357756387
2.0943951023931953,1.5707963267948966,-0.4999999999999998,-0.49041748046875,0.00916161033434498,-0.5547993488932468,0.009619450129959137
2.0943951023931953,2.356194490192345,-0.4999999999999999,-0.4940185546875,0.011221945734324858,-0.558580382204791,0.011782748164672252
2.0943951023931953,3.141592653589793,-0.4999999999999998,-0.4908935546875,0.009768547825349819,-0.5552992143140951,0.010256718548245437
2.0943951023931953,3.9269908169872414,-0.4999999999999999,-0.49425048828125,0.011155207573319809,-0.5588239063841786,0.0117126748491606
2.0943951023931953,4.71238898038469,-0.4999999999999998,-0.490625,0.009534292319742012,-0.5550172389484883,0.010010756422415328
